21,18,21,20,21,19,20,19,22,17,16,20,20,23,17,9,9,5,10,10,13,8,13,12,10,7,9,8,10,8,7,7,10,6,7,7,5,7,9,5,5,5,5,5,5,5,5,5,5,5
22,21,21,21,19,20,20,27,21,18,22,19,23,20,18,11,9,9,8,11,11,7,9,7,6,8,8,6,9,5,6,7,6,6,8,8,6,5,5,7,5,5,8,5,5,7,6,5,5,5
20,19,16,19,20,21,20,21,21,20,21,21,19,18,16,12,10,13,6,11,10,11,7,11,10,10,5,7,7,7,7,6,8,8,9,8,8,6,5,7,5,5,6,5,6,6,6,5,5,5
18,22,17,19,24,17,17,21,17,19,22,18,22,22,20,11,9,10,10,9,12,7,8,8,11,6,7,8,8,10,7,12,7,6,6,6,5,6,5,7,5,5,7,5,5,7,5,6,6,5
19,21,20,18,21,19,19,19,24,20,20,22,16,18,19,16,7,9,7,10,6,11,10,8,7,9,10,7,7,7,7,10,5,10,7,7,9,5,7,6,6,6,6,5,7,5,5,5,5,5
17,23,24,20,22,19,20,21,21,20,21,23,19,19,18,8,10,9,11,11,9,11,10,9,10,7,7,6,8,7,6,7,7,7,5,5,6,7,6,5,7,5,5,5,5,6,5,5,5,5
19,21,19,17,20,17,19,19,22,21,23,18,24,18,19,14,12,11,13,10,11,12,7,6,7,10,7,9,10,8,7,6,5,7,5,7,7,6,6,5,6,5,6,5,5,6,5,5,5,5
22,22,17,18,22,21,23,21,18,16,18,21,21,17,18,11,11,7,7,9,9,10,9,11,7,8,9,6,9,7,6,10,7,7,6,8,7,7,7,6,5,5,9,5,6,5,8,5,5,5
17,17,21,24,21,17,18,22,21,25,20,19,19,19,19,18,9,10,6,10,13,9,11,9,7,8,8,7,8,5,6,7,8,7,6,7,7,6,7,5,6,5,6,7,5,5,5,5,5,5
22,20,20,24,21,20,16,24,19,22,21,22,18,16,18,10,11,9,8,9,7,10,11,10,6,7,9,8,7,10,7,6,8,8,6,6,7,6,5,8,8,5,5,5,5,6,6,5,5,5
